Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
75,Female,38,35-44,Not Strong Democrat,Moderate,Graduate degree,,Black,,City,Disapprove,Increased,No,Yes,More Equal Society,98,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,60,55-64,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,1,DK/REF,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
40000,Male,68,65+,Not Strong Democrat,Not Very Strong Conservative,High school or less,,White,,Small Town,Neither Approve nor disapprove,Increased,No,No,More Equal Society,1,Strongly Yes,Strongly Yes,No,Not Hungry,Yes,More Smelly
,Male,47,45-54,Strong Democrat,Strong Conservative,High school or less,,Black,,Suburb,Disapprove,Increased,Yes,Yes,More Equal Society,99,Strongly Yes,Strongly No,Yes,Very Hungry,No,More Smelly
,Female,50,45-54,Strong Democrat,DK/REF,High school or less,,Black,,City,Disapprove,Increased,No,No,More Equal Society,80,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
90000,Male,60,55-64,Strong Democrat,Strong Conservative,Some college,,Latino,,City,Approve,Decreased,No,Yes,More Equal Society,40,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,50,45-54,Independent,Moderate,Some college,,DK/REF,,City,Disapprove,DK/REF,DK/REF,DK/REF,More Equal Society,10,Not Very Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
50000,Male,48,45-54,Independent,Not Very Strong Conservative,Some college,,Latino,,City,Neither Approve nor disapprove,Kept the Same,DK/REF,DK/REF,DK/REF,10,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
140000,Male,53,45-54,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,DK/REF,Yes,More Equal Society,1,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
120000,Male,77,65+,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,DK/REF,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,18,18-24,Not Strong Republican,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,98,Not Very Strongly No,Not Very Strongly No,Yes,Very Hungry,No,More Smelly
,Male,26,25-34,Independent,Strong Conservative,College degree,,White,,Suburb,Disapprove,Decreased,No,Yes,More Unequal Society,55,Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,More Smelly
40,Female,21,18-24,Not Strong Republican,Strong Conservative,Some college,,White,,Suburb,Neither Approve nor disapprove,Increased,Yes,No,More Equal Society,60,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
90000,Male,33,25-34,Not Strong Republican,Not very strong Liberal,College degree,,White,,City,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,80,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
,Female,66,65+,Not Strong Republican,Moderate,Some college,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,Yes,DK/REF,DK/REF,Not Very Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
80000,Male,37,35-44,Strong Republican,Strong Conservative,Some college,,White,,City,Approve,Decreased,No,No,More Equal Society,75,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,92,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Approve,Increased,No,No,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,22,18-24,Strong Republican,Moderate,Some college,,White,,Small Town,Approve,Decreased,No,Yes,More Equal Society,90,Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,More Smelly
17000,Male,69,65+,Independent,Moderate,High school or less,,White,,Suburb,Approve,Increased,Yes,DK/REF,More Equal Society,10,Not Very Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
75000,Male,69,65+,Strong Democrat,Strong Conservative,High school or less,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,1,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Male,66,65+,Strong Republican,Strong Conservative,High school or less,,White,,City,Approve,Increased,DK/REF,Yes,More Equal Society,50,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
50000,Male,60,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Suburb,Approve,Decreased,Yes,No,More Equal Society,99,Strongly No,Strongly No,Yes,A Little Hungry,Yes,Less Smelly
35000,Male,63,55-64,Independent,Not very strong Liberal,College degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
60000,Male,64,55-64,Independent,Moderate,Some college,,White,,Suburb,Disapprove,Increased,Yes,Yes,More Equal Society,95,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
50000,Male,67,65+,Independent,Moderate,College degree,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,30,Not Very Strongly No,Strongly No,No,A Little Hungry,No,DK/REF
50000,Male,68,65+,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,Yes,Yes,DK/REF,20,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Female,18,18-24,DK/REF,Moderate,College degree,,DK/REF,,Small Town,DK/REF,Increased,No,No,More Unequal Society,DK/REF,Strongly Yes,Strongly No,DK/REF,Very Hungry,No,DK/REF
,Female,52,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,5,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
4000,Female,40,35-44,Independent,DK/REF,High school or less,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,40,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
75000,Male,48,45-54,Not Strong Republican,Moderate,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,98,Strongly Yes,DK/REF,Yes,Not Hungry,Yes,More Smelly
20000,Female,69,65+,Independent,Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,DK/REF,DK/REF,Strongly No,DK/REF,Not Hungry,No,DK/REF
15000,Male,61,55-64,Independent,Moderate,High school or less,,Black,,Small Town,Neither Approve nor disapprove,Increased,No,No,More Equal Society,100,Not Very Strongly Yes,Strongly Yes,No,Not Hungry,Yes,DK/REF
11000,Other,75,65+,Strong Republican,Moderate,High school or less,,White,,Small Town,Approve,Kept the Same,DK/REF,Yes,More Equal Society,25,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
130000,Female,43,35-44,Not Strong Republican,Not very strong Liberal,Graduate degree,,White,,Suburb,Approve,Kept the Same,No,No,More Equal Society,85,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,64,55-64,Strong Democrat,Moderate,High school or less,,White,,Small Town,Approve,Increased,Yes,Yes,More Equal Society,100,Strongly No,Strongly Yes,No,Not Hungry,No,Less Smelly
60,Male,70,65+,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,DK/REF,More Unequal Society,70,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
25000,Female,56,55-64,Strong Democrat,Not Very Strong Conservative,Some college,,Black,,City,Disapprove,Increased,No,Yes,More Equal Society,60,Not Very Strongly Yes,Strongly No,No,Not Hungry,Yes,DK/REF
50000,Female,46,45-54,Strong Democrat,Moderate,College degree,,Black,,City,Disapprove,Decreased,DK/REF,DK/REF,More Equal Society,99,Strongly Yes,Strongly Yes,DK/REF,Not Hungry,Yes,DK/REF
25000,Female,62,55-64,Strong Democrat,Moderate,Some college,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
26000,Female,63,55-64,Independent,Moderate,Some college,,White,,Small Town,Disapprove,Kept the Same,No,Yes,DK/REF,75,DK/REF,Strongly No,No,Not Hungry,No,DK/REF
41,Female,53,45-54,Independent,Moderate,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,DK/REF,80,Strongly Yes,Not Very Strongly No,No,Not Hungry,No,Less Smelly
,Female,47,45-54,Strong Democrat,Strong Conservative,College degree,,Other,Native American,Suburb,Disapprove,Increased,No,No,More Equal Society,90,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
78000,Female,56,55-64,Not Strong Republican,Moderate,High school or less,,White,,Small Town,DK/REF,DK/REF,No,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,A Little Hungry,No,Less Smelly
70000,Male,55,55-64,Strong Republican,Not Very Strong Conservative,Some college,,White,,Suburb,Approve,Kept the Same,Yes,No,More Equal Society,20,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,99,65+,Strong Republican,Strong Conservative,Other,Post graduate,White,,DK/REF,Approve,Increased,Yes,Yes,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
25000,Male,55,55-64,Not Strong Republican,Not Very Strong Conservative,Some college,,White,,Small Town,Approve,DK/REF,Yes,Yes,More Equal Society,80,Strongly Yes,Strongly No,No,A Little Hungry,No,DK/REF
,Female,66,65+,Not Strong Democrat,Moderate,High school or less,,Black,,Small Town,Disapprove,Increased,No,DK/REF,More Equal Society,DK/REF,Strongly Yes,Strongly Yes,No,Not Hungry,No,DK/REF
,Male,63,55-64,Independent,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,Yes,DK/REF,60,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Male,92,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,DK/REF,No,DK/REF,DK/REF,Strongly Yes,DK/REF,DK/REF,Not Hungry,No,DK/REF
100000,Male,35,35-44,Not Strong Republican,Moderate,Graduate degree,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,98,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,60,55-64,Strong Democrat,Strong Liberal,Some college,,White,,City,Disapprove,Kept the Same,No,Yes,More Unequal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Male,62,55-64,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
,Male,99,65+,Independent,Not Very Strong Conservative,Other,Post Graduate,White,,Suburb,Approve,DK/REF,DK/REF,No,DK/REF,90,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,48,45-54,Independent,Moderate,High school or less,,Other,Native American,City,Disapprove,Increased,Yes,Yes,More Equal Society,40,Strongly Yes,Strongly No,No,Not Hungry,Yes,Less Smelly
25000,Female,65,65+,Strong Democrat,Strong Conservative,Some college,,Black,,Small Town,Disapprove,Increased,Yes,Yes,More Equal Society,100,Not Very Strongly Yes,Not Very Strongly Yes,No,Not Hungry,DK/REF,DK/REF
13000,Female,60,55-64,Strong Democrat,Not very strong Liberal,High school or less,,Black,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,30,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
48000,Female,48,45-54,Independent,Strong Conservative,High school or less,,White,,City,Neither Approve nor disapprove,Increased,Yes,Yes,More Equal Society,75,Strongly Yes,Not Very Strongly No,No,Not Hungry,No,DK/REF
24,Female,60,55-64,DK/REF,DK/REF,College degree,,Other,Indian,Suburb,Neither Approve nor disapprove,Decreased,DK/REF,No,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
300000,Female,39,35-44,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,DK/REF,Yes,More Equal Society,98,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,Less Smelly
30000,Female,65,65+,Not Strong Republican,Not Very Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,No,No,More Equal Society,25,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
10000,Male,48,45-54,Strong Democrat,Not Very Strong Conservative,Some college,,DK/REF,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly No,Not Very Strongly No,Yes,A Little Hungry,No,More Smelly
,Female,50,45-54,Strong Republican,Strong Conservative,Some college,,White,,City,Approve,Decreased,Yes,Yes,More Unequal Society,75,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,68,65+,Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,5,Not Very Strongly Yes,Strongly Yes,Yes,Very Hungry,No,DK/REF
,Female,21,18-24,Strong Republican,Strong Conservative,College degree,,White,,City,Approve,Kept the Same,Yes,No,More Equal Society,70,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Male,50,45-54,Strong Republican,Strong Conservative,Other,Associate's Degree,White,,City,Approve,DK/REF,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,More Smelly
,Male,60,55-64,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,80,Strongly Yes,Strongly No,Yes,A Little Hungry,No,More Smelly
11280,Female,76,65+,Strong Democrat,Moderate,Some college,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,100,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
,Female,70,65+,Not Strong Democrat,Not very strong Liberal,College degree,,White,,Small Town,Disapprove,DK/REF,DK/REF,DK/REF,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
40000,Female,70,65+,Independent,Moderate,Some college,,Black,,City,Disapprove,DK/REF,No,No,More Equal Society,1,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
50000,Male,66,65+,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,DK/REF,No,More Equal Society,100,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,53,45-54,Independent,Strong Conservative,College degree,,White,,Small Town,Disapprove,Decreased,No,No,More Unequal Society,50,Strongly No,Strongly No,No,Not Hungry,DK/REF,DK/REF
,Female,59,55-64,Independent,Strong Liberal,Graduate degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,80,Strongly Yes,DK/REF,Yes,DK/REF,DK/REF,DK/REF
500000,Male,37,35-44,DK/REF,Moderate,College degree,,Latino,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,50,Not Very Strongly Yes,Strongly No,Yes,Very Hungry,No,DK/REF
50000,Male,32,25-34,Not Strong Democrat,Moderate,College degree,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,90,Not Very Strongly No,Not Very Strongly No,Yes,A Little Hungry,No,DK/REF
,Male,63,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Increased,DK/REF,DK/REF,More Equal Society,80,Strongly Yes,Strongly Yes,No,Very Hungry,Yes,DK/REF
50000,Male,55,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,0,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
50,Female,30,25-34,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Kept the Same,No,DK/REF,More Equal Society,20,Not Very Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
30000,Male,33,25-34,DK/REF,DK/REF,College degree,,White,,DK/REF,Approve,DK/REF,Yes,Yes,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,DK/REF,DK/REF
65000,Female,53,45-54,Strong Democrat,Strong Conservative,College degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,60,Strongly No,Not Very Strongly Yes,No,Very Hungry,No,Less Smelly
,Female,71,65+,Independent,Not very strong Liberal,College degree,,White,,City,Disapprove,Kept the Same,Yes,No,More Equal Society,75,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
200000,Male,66,65+,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,40,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
30000,Male,60,55-64,Independent,Moderate,High school or less,,White,,Suburb,Approve,Increased,Yes,Yes,DK/REF,1,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
700,Female,63,55-64,Strong Democrat,Strong Conservative,High school or less,,Black,,City,Approve,Increased,Yes,Yes,More Equal Society,50,Strongly No,Strongly Yes,No,Not Hungry,DK/REF,DK/REF
56000,Female,65,65+,Strong Democrat,Moderate,College degree,,White,,Suburb,Disapprove,Increased,No,DK/REF,More Equal Society,50,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,59,55-64,Strong Democrat,Moderate,Some college,,White,,Suburb,Disapprove,Kept the Same,DK/REF,Yes,More Equal Society,5,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
73,Female,25,25-34,Independent,Moderate,Some college,,Latino,,City,Disapprove,Increased,No,No,More Equal Society,30,Not Very Strongly Yes,Strongly No,Yes,Very Hungry,No,Less Smelly
35000,Female,58,55-64,Strong Democrat,Moderate,College degree,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,75,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
200000,Male,30,25-34,Independent,Strong Conservative,High school or less,,White,,Suburb,Approve,Decreased,DK/REF,Yes,More Unequal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,More Smelly
50000,Male,46,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,Yes,No,More Unequal Society,35,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Male,33,25-34,Not Strong Republican,Not Very Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,100,Strongly Yes,Not Very Strongly Yes,No,Not Hungry,No,DK/REF
,Female,54,45-54,Strong Republican,Not Very Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,40,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,49,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Suburb,Approve,Decreased,DK/REF,DK/REF,More Equal Society,60,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
50,Male,70,65+,Independent,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,60,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,45,45-54,DK/REF,Not Very Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly No,No,Not Hungry,DK/REF,DK/REF
3000000,Other,96,65+,Strong Democrat,Strong Liberal,High school or less,,DK/REF,,DK/REF,Approve,Increased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,More Smelly
80000,Male,50,45-54,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,More Smelly
2000,Female,60,55-64,Strong Democrat,Not very strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,Yes,Yes,More Unequal Society,50,Strongly Yes,Strongly No,No,A Little Hungry,No,DK/REF
,Female,84,65+,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,DK/REF,No,DK/REF,More Equal Society,DK/REF,Not Very Strongly No,Strongly Yes,No,Not Hungry,No,More Smelly
30000,Male,50,45-54,Strong Republican,Not very strong Liberal,High school or less,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,80,Strongly Yes,DK/REF,No,Not Hungry,Yes,DK/REF
,Female,65,65+,Independent,Moderate,Some college,,White,,Small Town,Disapprove,Kept the Same,No,No,DK/REF,DK/REF,DK/REF,Strongly No,No,Not Hungry,No,DK/REF
80,Male,33,25-34,DK/REF,Moderate,Some college,,White,,Small Town,Disapprove,Decreased,No,No,More Equal Society,1,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,65,65+,Strong Democrat,Not very strong Liberal,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,80,Strongly Yes,Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
,Female,78,65+,Independent,Moderate,Graduate degree,,White,,City,DK/REF,Kept the Same,DK/REF,DK/REF,More Equal Society,DK/REF,DK/REF,Not Very Strongly No,No,Not Hungry,No,DK/REF
