Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
82000,Male,62,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Somewhat Agree,0,,No,10,,About Right,TRUE,Dumb and happy,Unacceptable
22000,Female,50,45-54,Democrat,Neither approve nor disapprove,High school,,White,,Married,,,Likely,Real and Caused by People,1,,Somewhat Agree,Somewhat Agree,6,,Yes,30,,Too Low,TRUE,Dumb and happy,Acceptable
54000,Female,59,55-64,Democrat,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Somewhat Disagree,25,,Yes,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
79000,Female,30,25-34,Independent,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,1,,Strongly Agree,Strongly Agree,5,,Yes,,Yes,DK/REF,DK/REF,Dumb and happy,Unacceptable
5000,Female,60,55-64,Democrat,Somewhat disapprove,Some college,,Black,,Single,,,Likely,Real and Caused by People,3,,DK/REF,Somewhat Agree,2,,No,35,,DK/REF,FALSE,DK/REF,DK/REF
60000,Male,70,65+,Democrat,Strongly disapprove,College degree,,Black,,Single,,,Unlikely,Real but not Caused by People,5,,Somewhat Agree,Strongly Agree,6,,No,,Yes,About Right,TRUE,DK/REF,Unacceptable
39000,Male,19,18-24,Independent,Somewhat Approve,High school,,White,,In a relationship,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,3,,Yes,15,,Too Low,TRUE,Dumb and happy,Acceptable
58000,Male,61,55-64,Independent,Somewhat Approve,College degree,,Black,,Separated,,,Likely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,0,,Yes,2,,About Right,FALSE,DK/REF,Unacceptable
54000,Female,57,55-64,Democrat,Somewhat disapprove,High school,,White,,Married,,,Likely,Not Real At All,0,,Somewhat Agree,Strongly Agree,0,,No,10,,About Right,TRUE,Smart and Sad,Unacceptable
73000,Male,36,35-44,DK/REF,Neither approve nor disapprove,College degree,,White,,Married,,Yes,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,12,,No,10,,About Right,FALSE,DK/REF,Unacceptable
26000,Female,63,55-64,Democrat,Somewhat disapprove,High school,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,Yes,1,,Too Low,TRUE,Smart and Sad,Unacceptable
48000,Female,63,55-64,Republican,DK/REF,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Strongly Agree,30,,No,,Yes,DK/REF,TRUE,Dumb and happy,DK/REF
61000,Female,55,55-64,Independent,Strongly disapprove,High school,,White,,Separated,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,1,,No,50,,About Right,TRUE,Dumb and happy,Unacceptable
67000,Female,56,55-64,Republican,Somewhat Approve,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,1,,Yes,5,,Too Low,FALSE,Smart and Sad,Unacceptable
58000,Male,54,45-54,DK/REF,Somewhat Approve,DK/REF,,White,,DK/REF,,,DK/REF,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,0,,Yes,,Yes,DK/REF,FALSE,Dumb and happy,Unacceptable
,Female,50,45-54,Independent,Strongly disapprove,College degree,,Other,Native American,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,30,,Yes,75,,Too High,TRUE,Dumb and happy,Unacceptable
,Male,65,65+,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,DK/REF,Real but not Caused by People,5,,Somewhat Agree,Strongly Agree,10,,No,5,,Too Low,TRUE,Dumb and happy,Unacceptable
,Female,73,65+,Democrat,DK/REF,College degree,,Black,,Widowed,,,Likely,Real but not Caused by People,2,,Strongly Agree,Somewhat Agree,200,,Yes,5,,Too Low,TRUE,Smart and Sad,Unacceptable
,Male,44,35-44,Independent,Strongly disapprove,Some college,,Black,,Married,,,Likely,Real but not Caused by People,3,,Somewhat Agree,Strongly Agree,6,,No,40,,About Right,FALSE,Smart and Sad,Unacceptable
,Male,65,65+,Republican,Strongly Approve,Graduate degree,,White,,In a relationship,,,DK/REF,Real and Caused by People,0,,Strongly Agree,Strongly Agree,7,,No,,Yes,Too Low,FALSE,Dumb and happy,DK/REF
,Female,25,25-34,Independent,DK/REF,Some college,,White,,Single,,,Unlikely,Real and Caused by People,4,,Somewhat Disagree,Somewhat Disagree,124,,Yes,,Yes,About Right,TRUE,Dumb and happy,Unacceptable
,Male,53,45-54,Republican,Strongly disapprove,College degree,,Black,,Separated,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Somewhat Agree,1,,No,30,,Too High,TRUE,DK/REF,Unacceptable
,Male,30,25-34,Independent,Neither approve nor disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Disagree,15,,No,35,,About Right,TRUE,Smart and Sad,Unacceptable
,Male,73,65+,Independent,Strongly Approve,Some college,,Black,,Widowed,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,8,,No,1,,About Right,FALSE,Dumb and happy,Unacceptable
,Female,56,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,No,6,,Too Low,TRUE,Smart and Sad,Acceptable
,Female,54,45-54,Independent,Strongly Approve,Graduate degree,,DK/REF,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,5,,No,,Yes,Too High,TRUE,Dumb and happy,DK/REF
,Female,60,55-64,DK/REF,Somewhat disapprove,Other,Ninth grade,White,,Separated,,,Likely,Real but not Caused by People,2,,Somewhat Agree,Somewhat Agree,0,,Yes,,Yes,About Right,TRUE,Smart and Sad,Unacceptable
,Female,19,18-24,Independent,Somewhat disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Somewhat Disagree,5,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
,Other,35,35-44,Democrat,Strongly disapprove,Graduate degree,,Asian,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,50,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
,Female,31,25-34,DK/REF,Somewhat Approve,College degree,,Black,,Single,,,Unlikely,Real but not Caused by People,1,,Strongly Disagree,Somewhat Agree,10,,No,50,,Too High,TRUE,DK/REF,Acceptable
,Female,31,25-34,Independent,Neither approve nor disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,5,,Yes,10,,Too Low,FALSE,Dumb and happy,Acceptable
,Male,62,55-64,Independent,Somewhat disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,1,,Yes,60,,Too High,TRUE,Smart and Sad,Unacceptable
,Male,75,65+,Republican,Strongly Approve,High school,,White,,Married,,,Likely,Real but not Caused by People,,Yes,Somewhat Agree,Somewhat Agree,20,,No,5,,About Right,TRUE,Smart and Sad,Acceptable
,Female,66,65+,Democrat,Strongly disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,30,,No,7,,About Right,FALSE,Smart and Sad,Unacceptable
,Male,58,55-64,Independent,Somewhat disapprove,Graduate degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Disagree,4,,No,7,,About Right,FALSE,Dumb and happy,Acceptable
,Female,47,45-54,DK/REF,Strongly disapprove,Some college,,White,,In a relationship,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Somewhat Agree,20,,Yes,8,,Too Low,TRUE,Dumb and happy,Acceptable
,Male,18,18-24,Republican,Strongly Approve,High school,,White,,Single,,,Unlikely,Not Real At All,2,,Somewhat Agree,Strongly Agree,4,,Yes,12,,About Right,FALSE,Dumb and happy,Acceptable
,Male,34,25-34,Republican,Strongly Approve,High school,,White,,Widowed,,,Likely,Not Real At All,5,,Strongly Disagree,Strongly Disagree,1,,Yes,69,,Too High,DK/REF,Smart and Sad,Acceptable
,Female,63,55-64,Democrat,Strongly disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,6,,No,,Yes,About Right,TRUE,Smart and Sad,Acceptable
,Male,28,25-34,Republican,Strongly Approve,Some college,,White,,In a relationship,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,0,,No,,Yes,About Right,TRUE,Dumb and happy,Acceptable
,Male,36,35-44,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,8,,Yes,5,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,32,25-34,Independent,Somewhat Approve,High school,,White,,Single,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,18,,No,30,,About Right,TRUE,Smart and Sad,Acceptable
,Male,55,55-64,Independent,Somewhat Approve,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Somewhat Disagree,0,,Yes,30,,About Right,TRUE,Dumb and happy,Unacceptable
,Male,72,65+,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,6,,Yes,25,,About Right,TRUE,Smart and Sad,Acceptable
,Male,31,25-34,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,20,,No,1,,Too Low,FALSE,Smart and Sad,Acceptable
,Female,41,35-44,Democrat,Strongly disapprove,High school,,Latino,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Disagree,0,,No,20,,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,48,45-54,DK/REF,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Not Real At All,2,,Somewhat Agree,Somewhat Agree,2,,Yes,35,,About Right,TRUE,Dumb and happy,Unacceptable
,Female,86,65+,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,DK/REF,,Yes,Somewhat Agree,Strongly Agree,2,,No,,Yes,DK/REF,TRUE,Dumb and happy,Acceptable
,Female,53,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,50,,No,3,,Too Low,DK/REF,Smart and Sad,Acceptable
30000,Female,74,65+,Independent,DK/REF,High school,,White,,Divorced,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,50,,No,30,,About Right,TRUE,Dumb and happy,Unacceptable
52000,Female,33,25-34,DK/REF,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,2,,Strongly Disagree,Strongly Agree,1000,,Yes,60,,Too High,DK/REF,Dumb and happy,Unacceptable
41000,Female,78,65+,Republican,Somewhat Approve,Some college,,White,,Widowed,,,Likely,Not Real At All,0,,Somewhat Agree,Somewhat Agree,0,,No,,Yes,About Right,TRUE,Dumb and happy,Acceptable
106000,Male,45,45-54,DK/REF,Strongly Approve,College degree,,White,,Married,,Yes,Unlikely,Not Real At All,2,,Somewhat Agree,Somewhat Agree,20,,No,5,,Too Low,FALSE,Dumb and happy,Unacceptable
21000,Male,41,35-44,Democrat,Somewhat Approve,High school,,White,,Divorced,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Agree,1,,No,100,,About Right,FALSE,Dumb and happy,Unacceptable
107000,Male,76,65+,Independent,Strongly disapprove,College degree,,White,,Married,,,Likely,Real and Caused by People,2,,DK/REF,Strongly Agree,3,,No,1,,Too Low,FALSE,Smart and Sad,Acceptable
53000,Female,65,65+,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,3,,No,45,,About Right,TRUE,Smart and Sad,Unacceptable
26000,Male,48,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,15,,Yes,1,,Too Low,FALSE,Dumb and happy,Unacceptable
126000,Male,46,45-54,Independent,Neither approve nor disapprove,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,3,,Strongly Agree,Strongly Agree,1,,No,10,,Too Low,FALSE,Smart and Sad,DK/REF
179000,Male,50,45-54,Republican,Strongly Approve,Graduate degree,,Latino,,Married,,,Unlikely,Not Real At All,5,,Strongly Disagree,Strongly Agree,10,,No,2,,Too Low,FALSE,Dumb and happy,Acceptable
122000,Female,48,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,2,,Somewhat Disagree,Somewhat Agree,20,,No,30,,Too High,FALSE,Dumb and happy,Acceptable
113000,Female,54,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,65,,Yes,10,,Too Low,FALSE,Smart and Sad,Unacceptable
140000,Male,21,18-24,Independent,Somewhat disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,3,,No,20,,Too Low,TRUE,Dumb and happy,Unacceptable
207000,Female,48,45-54,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Disagree,Strongly Agree,150,,No,20,,About Right,FALSE,Dumb and happy,Unacceptable
182000,Female,42,35-44,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,12,,Yes,10,,Too Low,FALSE,Smart and Sad,Unacceptable
128000,Female,50,45-54,Independent,Strongly Approve,Some college,,White,,Married,,,Likely,Real and Caused by People,3,,DK/REF,Strongly Agree,5,,Yes,,Yes,DK/REF,FALSE,Smart and Sad,Unacceptable
71000,Female,40,35-44,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,60,,No,5,,Too Low,FALSE,Smart and Sad,Acceptable
70000,Male,52,45-54,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,DK/REF,0,,Strongly Disagree,Somewhat Agree,0,,No,,Yes,DK/REF,FALSE,Smart and Sad,DK/REF
,Male,37,35-44,Independent,Strongly disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,15,,No,15,,Too Low,FALSE,Smart and Sad,Unacceptable
,Female,45,45-54,Independent,Somewhat disapprove,College degree,,White,,Married,,,Likely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,1,,Yes,20,,Too Low,FALSE,Dumb and happy,Acceptable
,Female,27,25-34,DK/REF,Neither approve nor disapprove,High school,,White,,In a relationship,,,Unlikely,Real and Caused by People,,Yes,DK/REF,Strongly Agree,3,,No,,Yes,About Right,TRUE,Dumb and happy,Unacceptable
,Female,43,35-44,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,12,,Yes,4,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,28,25-34,Republican,Neither approve nor disapprove,Graduate degree,,White,,Single,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,16,,No,10,,Too Low,TRUE,Smart and Sad,Acceptable
,Female,80,65+,Democrat,Strongly disapprove,DK/REF,,White,,Separated,,,Likely,Not Real At All,,Yes,Strongly Agree,Strongly Agree,25,,No,,Yes,About Right,TRUE,Dumb and happy,Unacceptable
,Male,68,65+,Republican,Strongly Approve,Graduate degree,,White,,Married,,Yes,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Somewhat Agree,3,,No,2,,Too High,FALSE,Dumb and happy,Unacceptable
,Male,36,35-44,DK/REF,DK/REF,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Somewhat Disagree,12,,No,,Yes,DK/REF,TRUE,Dumb and happy,Acceptable
,Female,53,45-54,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,35,,Yes,20,,About Right,FALSE,Dumb and happy,Acceptable
,Male,38,35-44,DK/REF,Somewhat disapprove,Other,doctorate,White,,Married,,Yes,Unlikely,DK/REF,,Yes,Somewhat Agree,Strongly Agree,10,,Yes,,Yes,Too High,DK/REF,Smart and Sad,Acceptable
,Female,37,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Strongly Disagree,Somewhat Disagree,10,,No,22,,About Right,TRUE,DK/REF,DK/REF
,Female,42,35-44,Independent,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,20,,Yes,10,,Too Low,DK/REF,Dumb and happy,Acceptable
,Male,24,18-24,DK/REF,Strongly Approve,Some college,,Other,Native American,Single,,,Unlikely,Real and Caused by People,2,,Neither Agree nor Disagree,Neither Agree nor Disagree,,Yes,No,,Yes,DK/REF,TRUE,DK/REF,Unacceptable
,Female,50,45-54,Democrat,Strongly disapprove,College degree,,Other,Native American,Married,,,Unlikely,Not Real At All,,Yes,Strongly Disagree,Strongly Agree,2,,Yes,,Yes,Too Low,DK/REF,Dumb and happy,Acceptable
,Male,53,45-54,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,7,,No,3,,About Right,FALSE,Dumb and happy,DK/REF
,Female,30,25-34,Independent,Somewhat disapprove,Other,master's degree,Asian,,In a relationship,,,Unlikely,DK/REF,1,,Strongly Agree,Strongly Agree,20,,No,15,,About Right,FALSE,Dumb and happy,Acceptable
,Female,20,18-24,Democrat,Strongly disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,10,,Yes,10,,About Right,FALSE,Dumb and happy,Acceptable
,Male,67,65+,Republican,Strongly Approve,Some college,,White,,In a relationship,,,Unlikely,Not Real At All,0,,Somewhat Agree,DK/REF,4,,No,,Yes,About Right,TRUE,Smart and Sad,Acceptable
77000,Male,18,18-24,Republican,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,3,,Yes,35,,About Right,FALSE,Smart and Sad,Unacceptable
,Female,34,25-34,Democrat,Strongly disapprove,Graduate degree,,Asian,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,60,,No,13,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,60,55-64,Democrat,Somewhat disapprove,High school,,Black,,Single,,,Likely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,20,,No,,Yes,About Right,TRUE,Dumb and happy,Unacceptable
,Male,25,25-34,DK/REF,DK/REF,Some college,,Latino,,Married,,,Unlikely,Real and Caused by People,3,,DK/REF,DK/REF,5,,No,,Yes,DK/REF,FALSE,DK/REF,DK/REF
,Male,56,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Strongly Disagree,Somewhat Disagree,4,,Yes,2,,Too High,FALSE,Smart and Sad,Unacceptable
,Male,50,45-54,Republican,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Not Real At All,0,,Strongly Disagree,Somewhat Agree,1,,No,5,,Too High,FALSE,Dumb and happy,Unacceptable
96000,Female,61,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,2,,Yes,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Female,34,25-34,Independent,Somewhat Approve,Some college,,White,,Divorced,,,DK/REF,Real and Caused by People,3,,Strongly Agree,Strongly Agree,0,,Yes,5,,DK/REF,TRUE,Smart and Sad,Acceptable
,Female,55,55-64,Republican,Strongly Approve,Graduate degree,,White,,Widowed,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Somewhat Agree,5,,No,18,,DK/REF,FALSE,DK/REF,DK/REF
,Male,25,25-34,Independent,Strongly Approve,High school,,White,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,0,,Yes,,Yes,DK/REF,DK/REF,Smart and Sad,Unacceptable
,Female,19,18-24,DK/REF,Strongly disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,2,,Yes,60,,About Right,TRUE,Dumb and happy,Unacceptable
,Male,70,65+,Independent,Somewhat Approve,DK/REF,,White,,Married,,,Unlikely,Not Real At All,1,,Strongly Disagree,DK/REF,1,,No,0,,Too High,TRUE,DK/REF,DK/REF
,Male,28,25-34,Independent,Somewhat disapprove,Some college,,White,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,1,,Yes,85,,About Right,TRUE,Dumb and happy,Acceptable
,Male,35,35-44,Independent,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,10,,Yes,1,,Too Low,FALSE,Dumb and happy,Acceptable
,Other,27,25-34,Independent,Strongly disapprove,College degree,,White,,In a relationship,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,8,,No,40,,Too High,FALSE,Dumb and happy,Acceptable
,Female,48,45-54,Independent,Strongly Approve,Some college,,White,,Single,,,Unlikely,Not Real At All,0,,DK/REF,Somewhat Agree,,Yes,Yes,,Yes,DK/REF,DK/REF,Dumb and happy,DK/REF
