ment	phd	kid5	art	gender	married
3	1.4	0	1	female	no
3	1.4	0	4	female	no
0	1.4	0	2	female	yes
0	1.4	0	2	female	no
14	1.4	0	0	female	no
12	1.4	0	1	female	no
2	1.4	0	1	female	no
6	2	0	1	female	no
11	4.34	0	2	female	yes
6	4.34	0	4	female	yes
0	1.75	0	0	female	no
36	2.1	0	6	female	yes
8	2.1	0	1	female	no
2	2.1	0	0	female	no
11	3.59	0	2	female	yes
11	3.59	2	2	female	yes
18	3.59	0	0	female	no
4	3.59	0	0	female	no
18	3.59	0	10	female	yes
8	3.59	0	1	female	no
19	3.41	0	3	female	yes
4	3.41	0	4	female	yes
5	3.41	2	0	female	yes
7	3.4	0	1	female	no
4	3.4	1	2	female	yes
5	3.4	0	4	female	yes
14	3.4	0	1	female	yes
4	3.4	0	0	female	yes
4	2.52	0	3	female	no
0	2.52	0	1	female	no
15	3.69	1	2	female	yes
1	3.69	0	1	female	yes
3	3.69	1	0	female	yes
18	3.69	0	1	female	no
15	2.87	0	0	female	no
5	2.87	0	1	female	yes
18	2.87	0	1	female	yes
9	2.87	0	2	female	no
6	2.87	0	4	female	no
15	2.87	0	1	female	yes
4	3.36	0	2	female	no
2	3.36	2	0	female	yes
3	3.36	0	2	female	no
7	3.36	0	0	female	no
16	4.54	0	4	female	yes
48	4.54	2	2	female	yes
15	4.54	0	5	female	yes
37	4.54	0	1	female	no
10	4.54	0	2	female	yes
13	4.54	0	2	female	no
6	4.54	2	0	female	yes
13	0.76	0	0	female	no
7	4.54	1	2	female	yes
9	4.54	0	2	female	yes
5	4.54	0	2	female	no
15	4.54	0	6	female	no
3	4.54	0	3	female	no
14	4.54	0	0	female	no
2	1.28	0	1	female	yes
4	1.28	0	4	female	yes
4	1.28	0	0	female	yes
0	2.5	1	0	female	yes
47	3.85	2	2	female	yes
29	3.85	0	1	female	yes
1	3.85	1	5	female	yes
18	3.85	0	1	female	no
13	2.05	0	1	female	no
17	2.05	0	1	female	no
2	2.05	0	2	female	no
4	1.78	0	4	female	yes
1	1.18	0	1	female	yes
3	1.52	0	0	female	yes
9	1.48	0	2	female	yes
12	4.29	0	0	female	no
17	4.29	0	1	female	no
5	4.29	0	3	female	no
2	3.09	0	2	female	yes
0	3.09	0	2	female	no
3	3.62	0	5	female	no
7	3.62	0	0	female	no
8	3.62	0	0	female	no
0	4.29	0	0	female	no
6	2.61	1	1	female	yes
7	2.61	0	1	female	yes
9	2.1	0	0	female	no
8	2.96	0	2	female	yes
10	2.39	0	0	female	no
3	1.95	0	1	female	yes
14	3.41	0	2	female	no
1	4.29	0	2	female	no
11	3.59	0	2	female	no
10	4.62	0	1	female	no
6	2.14	0	1	female	no
11	2.86	0	0	female	no
5	3.47	0	2	female	no
14	4.62	1	3	female	yes
9	3.19	3	1	female	yes
1	2.51	0	1	female	no
0	2.12	0	0	female	no
3	3.19	0	0	female	no
4	1.74	1	2	female	yes
0	1.25	0	0	female	yes
7	3.69	0	0	female	yes
5	3.21	0	0	female	no
15	4.62	1	0	female	yes
24	2.86	0	5	female	yes
9	2.39	1	1	female	yes
0	1.18	0	3	female	yes
7	3.36	0	2	female	no
8	1.97	0	2	female	no
22	1.64	0	1	female	yes
7	3.92	0	2	female	yes
6	3.32	0	6	female	no
6	2.58	0	5	female	no
23	4.54	0	2	female	no
2	2.39	0	0	female	yes
9	3.59	0	4	female	no
7	3.69	0	2	female	no
10	3.19	0	2	female	no
4	2.32	0	2	female	no
11	3.47	1	2	female	yes
4	3.69	0	2	female	no
5	2.32	1	3	female	yes
11	3.19	0	1	female	no
19	4.54	0	1	female	no
3	3.36	1	0	female	yes
5	2.58	0	2	female	yes
7	3.21	1	2	female	yes
3	1.4	0	1	female	no
10	2.5	0	4	female	no
0	3.19	2	0	female	yes
3	3.36	0	0	female	no
9	3.15	0	6	female	no
7	1.45	0	2	female	yes
7	2.86	2	1	female	yes
49	4.62	1	3	female	yes
2	3.69	0	0	female	yes
19	2.96	0	1	female	yes
12	3.09	1	1	female	yes
1	3.09	0	0	female	no
12	4.62	0	2	female	no
13	2.86	0	0	female	yes
2	3.21	0	0	female	no
3	2.83	0	2	female	yes
22	4.29	0	1	female	no
35	4.29	0	0	female	no
1	3.09	0	2	female	yes
4	3.69	0	0	female	no
1	1.79	0	0	female	yes
2	3.36	1	0	female	yes
14	2.58	0	4	female	yes
24	3.75	0	1	female	no
5	3.19	0	2	female	no
1	2.1	0	0	female	no
8	3.59	1	0	female	yes
1	3.92	0	0	female	no
24	3.32	1	1	female	yes
2	2	0	0	female	no
2	3.47	0	0	female	yes
14	3.21	0	4	female	yes
5	2.05	0	3	female	no
1	2.52	0	0	female	no
7	3.15	0	0	female	yes
38	1.86	2	6	female	yes
3	2.86	0	2	female	no
4	4.29	1	4	female	yes
0	1.25	2	0	female	yes
19	3.21	0	5	female	yes
5	2.32	1	1	female	yes
3	3.19	0	4	female	no
2	3.19	0	1	female	yes
11	3.36	0	3	female	yes
14	3.54	1	1	female	yes
6	1.86	0	0	female	yes
13	1.5	0	0	female	no
7	2.39	0	1	female	yes
11	4.29	1	2	female	yes
9	2	1	0	female	yes
4	3.92	0	1	female	no
6	4.29	0	2	female	yes
6	3.36	0	1	female	no
14	4.62	0	3	female	yes
6	2	0	1	female	no
5	3.59	0	2	female	yes
6	2.87	0	1	female	no
4	2.96	0	0	female	no
11	3.47	0	0	female	yes
8	3.19	0	4	female	yes
3	2.86	1	0	female	yes
16	2.52	0	2	female	yes
6	4.29	0	1	female	no
0	1.25	0	1	female	no
2	1.83	0	0	female	yes
12	4.29	0	3	female	no
8	2.96	0	0	female	yes
1	2.32	0	1	female	yes
11	1.22	1	0	female	yes
11	4.29	0	1	female	yes
2	4.25	0	1	female	no
36	2.55	0	2	female	no
11	1.95	0	1	female	yes
2	3.69	0	0	female	no
25	4.29	0	1	female	no
5	3.19	0	2	female	yes
12	3.54	1	4	female	yes
5	3.54	0	4	female	yes
8	3.54	1	0	female	yes
1	1.86	1	3	female	yes
3	4.62	0	4	female	no
16	4.62	0	1	female	yes
10	4.62	0	3	female	yes
13	4.54	0	1	female	yes
1	3.47	0	0	female	yes
16	2.86	0	0	female	no
7	2	0	0	female	yes
2	2	0	0	female	no
3	2.61	0	0	female	yes
6	2.05	0	0	female	no
6	2.05	0	0	female	no
5	3.54	0	0	female	no
0	0.92	0	2	female	yes
0	1.79	0	0	female	yes
6	2	0	0	female	yes
8	3.15	0	4	female	no
16	2.26	0	5	female	yes
4	2.26	0	1	female	no
1	4.29	0	6	female	yes
21	4.29	0	1	female	yes
9	4.54	0	1	female	no
3	3.36	1	0	female	yes
2	2.52	0	0	female	no
10	4.29	0	3	female	no
9	4.29	0	0	female	no
12	4.54	0	2	female	no
0	2.5	0	0	female	no
2	2.76	0	1	female	no
0	2.55	1	0	female	yes
0	4.62	0	0	female	yes
6	1.63	0	2	female	no
3	3.47	0	1	female	yes
31	3.41	0	2	female	yes
1	4.29	0	0	female	no
7	2.96	0	0	female	yes
0	4.62	0	5	female	yes
12	3.59	0	0	female	yes
12	3.69	0	3	female	yes
2	4.54	0	1	female	yes
11	3.34	0	4	female	no
2	2.51	1	4	female	yes
4	3.15	0	3	female	yes
3	3.19	0	1	female	yes
18	3.19	0	1	female	no
2	3.85	0	1	female	no
4	3.34	1	2	female	yes
15	4.29	0	2	female	no
4	4.29	0	2	female	no
21	4.29	0	2	female	no
4	4.29	1	0	female	yes
0	2.96	0	0	female	yes
1	1.78	0	0	female	yes
17	3.54	2	1	female	yes
3	3.69	0	0	female	yes
2	3.36	0	3	female	no
2	3.54	0	0	female	yes
1	3.54	1	0	female	yes
3	1.22	1	3	female	yes
4	3.36	0	1	female	no
2	2.21	0	1	female	no
4	2.25	0	1	female	no
17	4.62	1	2	female	yes
5	3.59	0	1	female	yes
1	4.29	0	0	female	yes
2	2.12	0	2	female	no
3	2.26	0	2	female	no
3	2.26	0	4	female	yes
5	4.29	0	0	female	no
3	3.59	1	3	female	yes
13	4.29	2	1	female	yes
2	2	0	1	female	no
0	1.97	2	0	female	yes
8	3.92	0	0	female	yes
39	2.86	0	4	female	no
26	2.83	0	2	female	no
3	3.36	1	3	female	yes
23	2.56	0	4	female	no
8	1.63	0	1	female	no
22	4.62	0	3	female	no
5	4.62	0	1	female	no
21	4.29	0	3	female	yes
6	4.29	1	0	female	yes
4	4.29	1	2	female	yes
24	4.29	0	6	female	yes
6	4.29	0	1	female	yes
34	3.36	0	1	female	no
0	3.21	0	2	female	no
10	2	0	1	female	no
2	3.21	2	2	female	yes
3	2.58	2	2	female	yes
3	2.58	0	0	female	yes
1	2.83	0	0	female	no
6	3.19	0	1	female	no
3	3.47	0	1	female	no
23	4.62	0	2	female	yes
13	4.25	0	4	female	yes
5	1.86	0	2	female	yes
9	4.29	1	0	female	yes
9	3.36	0	0	female	no
10	1.8	0	2	female	yes
0	1.66	0	1	female	no
6	2.86	0	0	female	no
14	4.62	0	2	female	no
3	4.29	0	0	female	no
5	2.36	0	4	female	yes
11	1.81	0	1	female	yes
32	3.59	0	1	female	yes
10	1.76	0	0	female	no
5	2	0	1	female	yes
14	3.59	0	5	female	no
6	2.26	0	3	female	yes
4	2.26	0	1	female	no
4	1.76	1	1	female	yes
1	3.59	0	1	female	yes
1	3.59	0	0	female	yes
5	2.83	1	1	female	yes
2	2.58	0	1	female	no
18	4.62	0	1	female	yes
15	2.32	0	1	female	no
0	2.39	0	0	female	yes
22	2.96	0	3	female	yes
11	2.12	0	0	female	no
18	4.62	0	1	female	yes
3	2.25	0	1	female	yes
8	1.76	0	1	female	yes
12	4.54	0	6	female	no
10	3.69	1	2	female	yes
2	1.25	0	0	female	no
5	1.25	0	1	female	yes
4	3.19	0	0	female	yes
0	2.58	2	0	female	yes
7	2	1	2	female	yes
1	2.76	0	0	female	no
4	2.54	0	2	female	no
0	3.19	0	0	female	no
9	3.09	2	1	female	yes
4	3.19	0	2	female	no
0	3.09	0	0	female	no
8	2.26	0	2	female	no
9	2.26	1	1	female	yes
8	3.36	0	2	female	yes
9	3.15	0	1	female	yes
4	4.54	0	0	female	yes
0	3.59	0	2	female	yes
3	3.47	0	1	female	yes
2	2.86	1	1	female	yes
6	2.26	0	0	female	yes
4	3.47	1	2	female	yes
0	2.76	0	0	female	yes
2	3.59	2	0	female	yes
13	3.75	0	5	female	no
2	2.58	2	1	female	yes
2	3.59	1	2	female	yes
16	1.89	2	3	female	yes
9	3.15	0	7	female	no
12	2.87	0	5	female	no
1	2.12	2	0	female	yes
4	4.62	0	1	female	yes
0	2.39	0	0	female	no
11	2.12	0	0	female	no
5	1.81	0	0	female	yes
8	2.32	0	4	female	no
15	2.39	0	0	female	no
6	3.75	0	3	female	yes
0	2	0	0	female	no
14	3.59	1	0	female	yes
5	4.29	0	2	female	no
0	2.58	0	0	female	yes
5	4.62	0	0	female	yes
3	1.5	0	0	female	no
4	3.75	0	2	female	yes
4	3.75	2	0	female	yes
0	1.75	0	1	female	yes
0	2.12	0	1	female	yes
5	3.75	0	2	female	no
0	0.76	0	0	female	no
7	2.25	0	1	female	no
3	3.19	0	1	female	no
