QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USCAMREP.85JAN.R172,Scientific and technological changes cause job increases,45,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1985,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1985,01/01/1985,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.85JAN.R172,Don't know,20,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1985,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1985,01/01/1985,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.86JAN.R171,Scientific and technological changes cause unemployment,50,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1986,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1986,01/01/1986,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.86JAN.R171,Scientific and technological changes cause job increases,35,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1986,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1986,01/01/1986,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.86JAN.R171,Don't know,16,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1986,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1986,01/01/1986,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.87JAN.R149,Scientific and technological changes cause unemployment,48,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1987,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1987,01/01/1987,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.87JAN.R149,Scientific and technological changes cause job increases,37,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1987,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1987,01/01/1987,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.87JAN.R149,Don't know,16,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1987,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1987,01/01/1987,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.89JAN.R137,Scientific and technological changes cause unemployment,34,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1989,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1989,01/01/1989,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.89JAN.R137,Scientific and technological changes cause job increases,45,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1989,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1989,01/01/1989,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.89JAN.R137,Don't know,21,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1989,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1989,01/01/1989,N,national adult,1500,personal,Sample size is approximate.
USORC.64MAY.R29,Retrain workers,58,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,More severance pay,20,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Fund for earlier retirement,18,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Automate slowly,30,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Pay full wages until workers get new jobs,8,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Shorten work week,15,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Guarantee jobs for workers somewhere else in the company,34,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Find jobs for workers in other companies,29,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,Don't automate,8,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,None of these,3,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USORC.64MAY.R29,No opinion,8,"Where workers' jobs are eliminated by automation, which of these do you think are a responsibility of the company?",Adds to more than 100% due to multiple responses,,05/01/1964,Opinion Research Corporation,,ORC Public Opinion Index,02/01/1964,03/01/1964,N,national adult,1025,personal,
USHARRIS.052465.R1,More good,50,"From what you know or have heard, do you feel that automation--machines doing jobs that people did before--will do more good than harm or more harm than good for America?",,,05/24/1965,Louis Harris & Associates,,Harris Survey,05/01/1965,05/01/1965,N,national adult,1250,personal,Sample size is approximate. As reported in The Washington Post.
USHARRIS.052465.R1,More harm,32,"From what you know or have heard, do you feel that automation--machines doing jobs that people did before--will do more good than harm or more harm than good for America?",,,05/24/1965,Louis Harris & Associates,,Harris Survey,05/01/1965,05/01/1965,N,national adult,1250,personal,Sample size is approximate. As reported in The Washington Post.
USHARRIS.052465.R1,No difference,18,"From what you know or have heard, do you feel that automation--machines doing jobs that people did before--will do more good than harm or more harm than good for America?",,,05/24/1965,Louis Harris & Associates,,Harris Survey,05/01/1965,05/01/1965,N,national adult,1250,personal,Sample size is approximate. As reported in The Washington Post.
USYANK.78MAP.R09I,Agree,56,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement.)...In the future, automation will force many people to change jobs if they want to keep working",,,06/01/1978,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1978,05/19/1978,06/15/1978,Y,national adult,1508,personal,
USYANK.78MAP.R09I,No strong opinion,26,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement.)...In the future, automation will force many people to change jobs if they want to keep working",,,06/01/1978,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1978,05/19/1978,06/15/1978,Y,national adult,1508,personal,
USYANK.78MAP.R09I,Disagree,16,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement.)...In the future, automation will force many people to change jobs if they want to keep working",,,06/01/1978,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1978,05/19/1978,06/15/1978,Y,national adult,1508,personal,
USYANK.78MAP.R09I,Don't know,2,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement.)...In the future, automation will force many people to change jobs if they want to keep working",,,06/01/1978,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1978,05/19/1978,06/15/1978,Y,national adult,1508,personal,
USYANK.82MAP.R16H,Agree,73,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement. As you go through each blue card (the cards that contain the statements), please read me the letter of that statement and then your number rating for that statement from (the scale card))....In the future, automation will force many people to change jobs if they want to keep working.",,,06/01/1982,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1982,04/24/1982,05/23/1982,Y,national adult,1252,personal,
USYANK.82MAP.R16H,No strong opinion,18,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement. As you go through each blue card (the cards that contain the statements), please read me the letter of that statement and then your number rating for that statement from (the scale card))....In the future, automation will force many people to change jobs if they want to keep working.",,,06/01/1982,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1982,04/24/1982,05/23/1982,Y,national adult,1252,personal,
USYANK.82MAP.R16H,Disagree,9,"(Here is a set of statements I'd like you to read. After reading each statement please select the item on the scale on this card that best describes the extent of your agreement or disagreement with the statement. As you go through each blue card (the cards that contain the statements), please read me the letter of that statement and then your number rating for that statement from (the scale card))....In the future, automation will force many people to change jobs if they want to keep working.",,,06/01/1982,"Yankelovich, Skelly & White",American Council of Life Insurance,Monitoring Attitudes of the Public 1982,04/24/1982,05/23/1982,Y,national adult,1252,personal,
USORC.82NOV.R04,White collar,8,"By the year 2000, which kind of jobs do you think will be more affected by automation--white-collar jobs or blue-collar jobs, or will both be affected about the same?",,,11/01/1982,Opinion Research Corporation,,ORC Public Opinion Index,09/24/1982,09/27/1982,Y,national adult,1005,telephone,
USORC.82NOV.R04,Blue collar,30,"By the year 2000, which kind of jobs do you think will be more affected by automation--white-collar jobs or blue-collar jobs, or will both be affected about the same?",,,11/01/1982,Opinion Research Corporation,,ORC Public Opinion Index,09/24/1982,09/27/1982,Y,national adult,1005,telephone,
USORC.82NOV.R04,Both about the same,60,"By the year 2000, which kind of jobs do you think will be more affected by automation--white-collar jobs or blue-collar jobs, or will both be affected about the same?",,,11/01/1982,Opinion Research Corporation,,ORC Public Opinion Index,09/24/1982,09/27/1982,Y,national adult,1005,telephone,
USORC.82NOV.R04,Don't know,2,"By the year 2000, which kind of jobs do you think will be more affected by automation--white-collar jobs or blue-collar jobs, or will both be affected about the same?",,,11/01/1982,Opinion Research Corporation,,ORC Public Opinion Index,09/24/1982,09/27/1982,Y,national adult,1005,telephone,
USNSF.83SCIENCE.Q092,Strongly agree,3,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,05/31/1983,06/30/1983,N,national adult,1631,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.83SCIENCE.Q092,Agree,36,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,05/31/1983,06/30/1983,N,national adult,1631,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.83SCIENCE.Q092,Disagree,50,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,05/31/1983,06/30/1983,N,national adult,1631,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.83SCIENCE.Q092,Strongly disagree,6,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,05/31/1983,06/30/1983,N,national adult,1631,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.83SCIENCE.Q092,Won't say,*,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,05/31/1983,06/30/1983,N,national adult,1631,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.83SCIENCE.Q092,Don't know,5,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,05/31/1983,06/30/1983,N,national adult,1631,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USAS.47.R7,A loss of jobs,44,"On balance, do you think advances in technology and automation in the U.S. are causing a loss of jobs, an increase in jobs or are they having very little effect on the number of available jobs?",,,10/03/1983,Audits & Surveys,Merit,Merit Report,09/17/1983,09/21/1983,Y,national adult,1205,telephone,
USAS.47.R7,An increase of jobs,17,"On balance, do you think advances in technology and automation in the U.S. are causing a loss of jobs, an increase in jobs or are they having very little effect on the number of available jobs?",,,10/03/1983,Audits & Surveys,Merit,Merit Report,09/17/1983,09/21/1983,Y,national adult,1205,telephone,
USAS.47.R7,Very little effect,30,"On balance, do you think advances in technology and automation in the U.S. are causing a loss of jobs, an increase in jobs or are they having very little effect on the number of available jobs?",,,10/03/1983,Audits & Surveys,Merit,Merit Report,09/17/1983,09/21/1983,Y,national adult,1205,telephone,
USAS.47.R7,No opinion,9,"On balance, do you think advances in technology and automation in the U.S. are causing a loss of jobs, an increase in jobs or are they having very little effect on the number of available jobs?",,,10/03/1983,Audits & Surveys,Merit,Merit Report,09/17/1983,09/21/1983,Y,national adult,1205,telephone,
USORC.85JAN.R05,Larger pay increases/No guarantee of job security,14,"As you probably know, some workers are faced with the possibility that their jobs may be eliminated because of automation or the increased purchase of foreign imports. They may be offered the option of obtaining greater job security in exchange for accepting a smaller pay increase. If you were offered the option, which would you choose: greater job security with a smaller pay increase, or a larger pay increase with no guarantee of job security?",,,01/01/1985,Opinion Research Corporation,,ORC Public Opinion Index,11/09/1984,11/12/1984,Y,national adult,1009,telephone,
USORC.85JAN.R05,Smaller pay increases/Greater job security,83,"As you probably know, some workers are faced with the possibility that their jobs may be eliminated because of automation or the increased purchase of foreign imports. They may be offered the option of obtaining greater job security in exchange for accepting a smaller pay increase. If you were offered the option, which would you choose: greater job security with a smaller pay increase, or a larger pay increase with no guarantee of job security?",,,01/01/1985,Opinion Research Corporation,,ORC Public Opinion Index,11/09/1984,11/12/1984,Y,national adult,1009,telephone,
USORC.85JAN.R05,Don't know,3,"As you probably know, some workers are faced with the possibility that their jobs may be eliminated because of automation or the increased purchase of foreign imports. They may be offered the option of obtaining greater job security in exchange for accepting a smaller pay increase. If you were offered the option, which would you choose: greater job security with a smaller pay increase, or a larger pay increase with no guarantee of job security?",,,01/01/1985,Opinion Research Corporation,,ORC Public Opinion Index,11/09/1984,11/12/1984,Y,national adult,1009,telephone,
USNSF.85SCIENCE.Q092,Strongly agree,3,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,11/30/1985,12/31/1985,N,national adult,2003,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.85SCIENCE.Q092,Agree,45,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,11/30/1985,12/31/1985,N,national adult,2003,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.85SCIENCE.Q092,Disagree,42,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,11/30/1985,12/31/1985,N,national adult,2003,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.85SCIENCE.Q092,Strongly disagree,1,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,11/30/1985,12/31/1985,N,national adult,2003,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.85SCIENCE.Q092,Won't say,*,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,11/30/1985,12/31/1985,N,national adult,2003,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.85SCIENCE.Q092,Don't know,8,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",* = less than .5%.,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,11/30/1985,12/31/1985,N,national adult,2003,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.88SCIENCE.Q092,Strongly agree,5,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,06/30/1988,07/31/1988,N,national adult,2041,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.88SCIENCE.Q092,Agree,35,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,06/30/1988,07/31/1988,N,national adult,2041,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.88SCIENCE.Q092,Disagree,45,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,06/30/1988,07/31/1988,N,national adult,2041,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.88SCIENCE.Q092,Strongly disagree,7,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,06/30/1988,07/31/1988,N,national adult,2041,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.88SCIENCE.Q092,Don't know,8,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,06/30/1988,07/31/1988,N,national adult,2041,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
USNSF.90SCIENCE.Q092,Strongly agree,4,"In general, computers and factory automation will create more jobs than they will eliminate.  Do you strongly agree, agree, disagree, or strongly disagree?",,,03/31/2005,"Public Opinion Laboratory, Northern Illinois University",National Science Foundation,Public Attitudes Towards and Understanding of Science and Technology Trend Survey,09/30/1990,10/31/1990,N,national adult,2005,telephone,The principal investigators were Jon D. Miller and Linda Kimmel of Northwestern University.  Susan Carol Losh of Florida State University produced the cumulative trend data file from which these results came.
